Epoch [51/100], Train Loss: 0.5389, Train Accuracy: 0.7227, Validation Loss: 0.6960, Validation Accuracy: 0.6059
Epoch [52/100], Train Loss: 0.5030, Train Accuracy: 0.7539, Validation Loss: 0.6996, Validation Accuracy: 0.5765
Epoch [53/100], Train Loss: 0.4568, Train Accuracy: 0.8053, Validation Loss: 0.6954, Validation Accuracy: 0.6059
Epoch [54/100], Train Loss: 0.4233, Train Accuracy: 0.8022, Validation Loss: 0.7442, Validation Accuracy: 0.6176
Epoch [55/100], Train Loss: 0.3975, Train Accuracy: 0.8224, Validation Loss: 0.7750, Validation Accuracy: 0.6176
Epoch [56/100], Train Loss: 0.5317, Train Accuracy: 0.7290, Validation Loss: 0.7103, Validation Accuracy: 0.6000
Epoch [57/100], Train Loss: 0.4256, Train Accuracy: 0.8474, Validation Loss: 0.6582, Validation Accuracy: 0.6059
Epoch [58/100], Train Loss: 0.4395, Train Accuracy: 0.8629, Validation Loss: 0.6770, Validation Accuracy: 0.5882
Epoch [59/100], Train Loss: 0.3875, Train Accuracy: 0.8598, Validation Loss: 0.7794, Validation Accuracy: 0.6059
Epoch [60/100], Train Loss: 0.3389, Train Accuracy: 0.8567, Validation Loss: 0.8890, Validation Accuracy: 0.6118
Epoch [61/100], Train Loss: 0.3595, Train Accuracy: 0.8302, Validation Loss: 1.0442, Validation Accuracy: 0.5647
Epoch [62/100], Train Loss: 0.4223, Train Accuracy: 0.7944, Validation Loss: 1.0282, Validation Accuracy: 0.5882
Epoch [63/100], Train Loss: 0.3683, Train Accuracy: 0.8364, Validation Loss: 0.7292, Validation Accuracy: 0.6353
Epoch [64/100], Train Loss: 0.2834, Train Accuracy: 0.9050, Validation Loss: 0.6705, Validation Accuracy: 0.6529
Epoch [65/100], Train Loss: 0.2665, Train Accuracy: 0.9112, Validation Loss: 0.9710, Validation Accuracy: 0.6471
Epoch [66/100], Train Loss: 0.3180, Train Accuracy: 0.8520, Validation Loss: 1.0239, Validation Accuracy: 0.5529
Epoch [67/100], Train Loss: 0.3531, Train Accuracy: 0.8100, Validation Loss: 1.0095, Validation Accuracy: 0.6176
Epoch [68/100], Train Loss: 0.3368, Train Accuracy: 0.8302, Validation Loss: 0.7713, Validation Accuracy: 0.5824
Epoch [69/100], Train Loss: 0.2644, Train Accuracy: 0.9050, Validation Loss: 0.7832, Validation Accuracy: 0.6588
Epoch [70/100], Train Loss: 0.2443, Train Accuracy: 0.8988, Validation Loss: 0.8242, Validation Accuracy: 0.6235
Epoch [71/100], Train Loss: 0.2456, Train Accuracy: 0.8972, Validation Loss: 0.9004, Validation Accuracy: 0.6647
Epoch [72/100], Train Loss: 0.2365, Train Accuracy: 0.8925, Validation Loss: 0.7818, Validation Accuracy: 0.6529
Epoch [73/100], Train Loss: 0.1414, Train Accuracy: 0.9642, Validation Loss: 0.8897, Validation Accuracy: 0.6529
Epoch [74/100], Train Loss: 0.1083, Train Accuracy: 0.9704, Validation Loss: 0.9275, Validation Accuracy: 0.6647
Epoch [75/100], Train Loss: 0.0842, Train Accuracy: 0.9798, Validation Loss: 1.0651, Validation Accuracy: 0.6647
Epoch [76/100], Train Loss: 0.0577, Train Accuracy: 0.9938, Validation Loss: 1.0544, Validation Accuracy: 0.6471
Epoch [77/100], Train Loss: 0.0499, Train Accuracy: 0.9860, Validation Loss: 1.1953, Validation Accuracy: 0.6647
Epoch [78/100], Train Loss: 0.0399, Train Accuracy: 0.9875, Validation Loss: 1.1514, Validation Accuracy: 0.6588
Epoch [79/100], Train Loss: 0.0265, Train Accuracy: 0.9938, Validation Loss: 1.3038, Validation Accuracy: 0.6471
Epoch [80/100], Train Loss: 0.0214, Train Accuracy: 0.9953, Validation Loss: 1.2577, Validation Accuracy: 0.7000
Epoch [81/100], Train Loss: 0.0135, Train Accuracy: 1.0000, Validation Loss: 1.3203, Validation Accuracy: 0.6824
Epoch [82/100], Train Loss: 0.0071, Train Accuracy: 1.0000, Validation Loss: 1.3769, Validation Accuracy: 0.6824
Epoch [83/100], Train Loss: 0.0048, Train Accuracy: 1.0000, Validation Loss: 1.4360, Validation Accuracy: 0.6706
Epoch [84/100], Train Loss: 0.0037, Train Accuracy: 1.0000, Validation Loss: 1.5130, Validation Accuracy: 0.6824
Epoch [85/100], Train Loss: 0.0052, Train Accuracy: 1.0000, Validation Loss: 1.5027, Validation Accuracy: 0.6824
Epoch [86/100], Train Loss: 0.0034, Train Accuracy: 1.0000, Validation Loss: 1.5817, Validation Accuracy: 0.6765
Epoch [87/100], Train Loss: 0.0021, Train Accuracy: 1.0000, Validation Loss: 1.6355, Validation Accuracy: 0.6824
Epoch [88/100], Train Loss: 0.0018, Train Accuracy: 1.0000, Validation Loss: 1.6831, Validation Accuracy: 0.6765
Epoch [89/100], Train Loss: 0.0014, Train Accuracy: 1.0000, Validation Loss: 1.7128, Validation Accuracy: 0.6765
